title,budget,revenue,runtime,genres,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,release__year,production_company,genre1,genre2,genre3
The Girl in the Spider's Web,43000000,35164920,115,"['Action', 'Crime', 'Thriller']",3.8716,6.142,1402,True,Fede Álvarez,Claire Foy,-7835080,-0.2228095499719607,2018,Columbia Pictures,Action,Crime,Thriller
Elizabeth: The Golden Age,55000000,74237563,114,"['Drama', 'History', 'Romance']",3.8705,6.7,1247,True,Shekhar Kapur,Cate Blanchett,19237563,0.25913516315184,2007,Universal Pictures,Drama,History,Romance
Alfie,60000000,35060882,106,"['Comedy', 'Drama', 'Romance']",3.8683,5.847,829,False,Charles Shyer,Jude Law,-24939118,-0.7113089168720855,2004,Patalex Productions,Comedy,Drama,Romance
God's Not Dead 2,5000000,24487848,121,['Drama'],3.8666,6.127,413,True,Harold Cronk,Jesse Metcalfe,19487848,0.7958170926248808,2016,Pure Flix Entertainment,Drama,,
Antitrust,30000000,18200000,108,"['Action', 'Crime', 'Drama']",3.865,6.049,535,False,Peter Howitt,Ryan Phillippe,-11800000,-0.6483516483516484,2001,Industry Entertainment Partners,Action,Crime,Drama
I Spy,70000000,51386477,97,"['Action', 'Adventure', 'Comedy', 'Thriller']",3.8628,5.4,962,False,Betty Thomas,Eddie Murphy,-18613523,-0.3622260969554305,2002,Columbia Pictures,Action,Adventure,Comedy
Killers,75000000,98159963,100,"['Action', 'Comedy', 'Thriller', 'Romance']",3.8571,6.0,2223,False,Robert Luketic,Ashton Kutcher,23159963,0.2359410322923614,2010,Katalyst Films,Action,Comedy,Thriller
Gretel & Hansel,5000000,22304357,87,"['Horror', 'Fantasy']",3.857,5.987,1465,False,Osgood Perkins,Sophia Lillis,17304357,0.7758285522420575,2020,Automatik Entertainment,Horror,Fantasy,
Spencer,18000000,14000000,116,"['Drama', 'History']",3.8569,6.757,1701,False,Pablo Larraín,Kristen Stewart,-4000000,-0.2857142857142857,2021,FilmNation Entertainment,Drama,History,
Inside Llewyn Davis,11000000,32935319,104,"['Drama', 'Music']",3.8528,7.2,2747,False,Joel Coen,Oscar Isaac,21935319,0.6660120401445027,2013,StudioCanal,Drama,Music,
American Hustle,40000000,251171807,138,"['Drama', 'Crime']",3.8507,6.851,7392,False,David O. Russell,Christian Bale,211171807,0.8407464576627424,2013,Annapurna Pictures,Drama,Crime,
Soul Plane,16000000,14800000,86,"['Romance', 'Comedy']",3.849,5.394,452,False,Jessy Terrero,Kevin Hart,-1200000,-0.08108108108108109,2004,Metro-Goldwyn-Mayer,Romance,Comedy,
Piece by Piece,16000000,10591426,93,"['Animation', 'Documentary', 'Family', 'Music']",3.8475,7.426,108,False,Morgan Neville,Pharrell Williams,-5408574,-0.5106558833531953,2024,Focus Features,Animation,Documentary,Family
Guess Who,35000000,103100000,105,"['Comedy', 'Romance']",3.8475,6.001,928,False,Kevin Rodney Sullivan,Bernie Mac,68100000,0.6605237633365665,2005,Columbia Pictures,Comedy,Romance,
Ali G Indahouse,7000000,23280529,85,['Comedy'],3.8472,6.063,1402,False,Mark Mylod,Sacha Baron Cohen,16280529,0.6993195472491196,2002,Universal Pictures,Comedy,,
Confessions of a Shopaholic,40000000,108394089,104,"['Comedy', 'Romance']",3.8463,6.5,2643,False,P.J. Hogan,Isla Fisher,68394089,0.6309761872716141,2009,Touchstone Pictures,Comedy,Romance,
Michael Clayton,25000000,92991835,119,"['Drama', 'Thriller', 'Crime']",3.8448,6.8,1801,False,Tony Gilroy,George Clooney,67991835,0.7311591926323424,2007,Castle Rock Entertainment,Drama,Thriller,Crime
Mary Magdalene,20000000,11710110,120,['Drama'],3.844,6.309,547,False,Garth Davis,Rooney Mara,-8289890,-0.7079258862640915,2018,Focus Features,Drama,,
Run All Night,50000000,71561644,114,"['Action', 'Crime', 'Thriller']",3.8368,6.423,2841,True,Jaume Collet-Serra,Liam Neeson,21561644,0.3013016861378981,2015,RatPac Entertainment,Action,Crime,Thriller
"Alice, Darling",4000000,121067,90,"['Thriller', 'Drama', 'Romance']",3.8363,5.667,243,False,Mary Nighy,Anna Kendrick,-3878933,-32.0395566091503,2022,Babe Nation Films,Thriller,Drama,Romance
It's a Boy Girl Thing,15500000,7385434,95,"['Comedy', 'Fantasy', 'Romance']",3.835,6.5,1048,False,Nick Hurran,Kevin Zegers,-8114566,-1.098725680846921,2006,Icon Entertainment International,Comedy,Fantasy,Romance
Eight Below,40000000,120453565,120,"['Adventure', 'Drama', 'Family']",3.8331,7.0,1730,False,Frank Marshall,Paul Walker,80453565,0.6679218253108573,2006,Walt Disney Pictures,Adventure,Drama,Family
A Very Harold & Kumar Christmas,19000000,36192775,90,['Comedy'],3.832,6.0,984,True,Todd Strauss-Schulson,John Cho,17192775,0.47503334574372924,2011,New Line Cinema,Comedy,,
The Awakening,4798235,6879667,107,"['Horror', 'Thriller', 'Mystery']",3.8314,6.4,1421,False,Nick Murphy,Rebecca Hall,2081432,0.3025483646228807,2011,BBC Film,Horror,Thriller,Mystery
The Book of Clarence,40000000,6205230,129,"['Adventure', 'Comedy', 'Drama']",3.8313,5.9,105,False,Jeymes Samuel,LaKeith Stanfield,-33794770,-5.446175242497055,2024,Legendary Pictures,Adventure,Comedy,Drama
Billy Lynn's Long Halftime Walk,40000000,30930984,113,"['Drama', 'War']",3.8306,6.0,571,False,Ang Lee,Joe Alwyn,-9069016,-0.293201664712639,2016,Bona Film Group,Drama,War,
Hereafter,50000000,107000000,129,"['Drama', 'Fantasy']",3.8294,6.1,1715,False,Clint Eastwood,Matt Damon,57000000,0.5327102803738317,2010,Warner Bros. Pictures,Drama,Fantasy,
Larry Crowne,30000000,75055070,98,"['Comedy', 'Romance', 'Drama']",3.8288,6.0,1343,False,Tom Hanks,Tom Hanks,45055070,0.6002934911658866,2011,Playtone,Comedy,Romance,Drama
Buried,1987650,19152480,95,"['Drama', 'Thriller', 'Mystery']",3.8275,6.6,2872,False,Rodrigo Cortés,Ryan Reynolds,17164830,0.8962197062730257,2010,Versus Entertainment,Drama,Thriller,Mystery
Dear Evan Hansen,27500000,19133454,137,['Drama'],3.8164,6.3,336,False,Stephen Chbosky,Ben Platt,-8366546,-0.4372731656291645,2021,Universal Pictures,Drama,,
The Wicker Man,40000000,38805380,102,"['Horror', 'Mystery', 'Thriller']",3.8132,4.313,1337,False,Neil LaBute,Nicolas Cage,-1194620,-0.030784906628926197,2006,Millennium Media,Horror,Mystery,Thriller
Chicago,45000000,306776732,113,"['Comedy', 'Crime', 'Drama']",3.8126,7.117,2698,False,Rob Marshall,Renée Zellweger,261776732,0.8533135166196373,2002,Miramax,Comedy,Crime,Drama
High School Musical,4200000,3746,98,"['Comedy', 'Drama', 'Family', 'Music', 'Romance', 'TV Movie']",3.8121,6.5,4630,True,Kenny Ortega,Zac Efron,-4196254,-1120.1959423384944,2006,Salty Pictures,Comedy,Drama,Family
I Still Believe,12000000,16069730,115,"['Music', 'Drama', 'Romance']",3.8114,7.584,1186,False,Andrew Erwin,K.J. Apa,4069730,0.2532544106217093,2020,Kevin Downes Productions,Music,Drama,Romance
Timber Falls,2600000,677548,97,"['Horror', 'Thriller']",3.8109,5.187,155,False,Tony Giglio,Josh Randall,-1922452,-2.8373665039229694,2007,Ascendant Pictures,Horror,Thriller,
Marie Antoinette,40000000,60917189,123,"['Drama', 'History']",3.8077,6.696,2809,False,Sofia Coppola,Kirsten Dunst,20917189,0.3433708833807154,2006,Pricel,Drama,History,
The Beach,40000000,144056873,119,"['Drama', 'Adventure', 'Romance', 'Thriller']",3.807,6.488,4448,False,Danny Boyle,Leonardo DiCaprio,104056873,0.7223318876288534,2000,20th Century Fox,Drama,Adventure,Romance
The Last Airbender,150000000,319713881,103,"['Action', 'Adventure', 'Fantasy']",3.8053,4.634,4041,False,M. Night Shyamalan,Noah Ringer,169713881,0.5308305052916986,2010,Paramount Pictures,Action,Adventure,Fantasy
Paul Blart: Mall Cop 2,38000000,107597242,94,"['Action', 'Comedy', 'Family']",3.8019,5.2,1595,True,Andy Fickman,Kevin James,69597242,0.6468310962840479,2015,Columbia Pictures,Action,Comedy,Family
Happily N'Ever After,47000000,38100000,87,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",3.8018,5.036,430,True,Paul Bolger,George Carlin,-8900000,-0.2335958005249344,2007,Lionsgate,Adventure,Animation,Comedy
Let Me In,20000000,24145613,116,"['Drama', 'Horror', 'Mystery']",3.801,6.8,2074,False,Matt Reeves,Kodi Smit-McPhee,4145613,0.17169218275800247,2010,Hammer Film Productions,Drama,Horror,Mystery
Ella Enchanted,31000000,27400000,96,"['Family', 'Fantasy', 'Comedy']",3.8006,6.5,1874,False,Tommy O'Haver,Anne Hathaway,-3600000,-0.13138686131386862,2004,World 2000 Entertainment,Family,Fantasy,Comedy
Marlowe,20000000,6262663,109,['Crime'],3.7996,5.745,386,False,Neil Jordan,Liam Neeson,-13737337,-2.1935296534397586,2023,Parallel Films,Crime,,
Goodrich,5000000,1320429,111,"['Comedy', 'Drama']",3.7951,6.053,66,False,Hallie Meyers-Shyer,Michael Keaton,-3679571,-2.7866481272374357,2024,C2 Motion Picture Group,Comedy,Drama,
A Single Man,7000000,25000000,100,"['Drama', 'Romance']",3.7942,7.3,1572,False,Tom Ford,Colin Firth,18000000,0.72,2009,Fade to Black,Drama,Romance,
The Legend of Zorro,75000000,142400065,129,"['Action', 'Adventure', 'Western']",3.7937,6.124,2939,True,Martin Campbell,Antonio Banderas,67400065,0.47331484715263294,2005,Columbia Pictures,Action,Adventure,Western
The 15:17 to Paris,30000000,57076286,94,"['Drama', 'Thriller']",3.7933,5.424,1624,False,Clint Eastwood,Ray Corasani,27076286,0.47438766425692097,2018,Warner Bros. Pictures,Drama,Thriller,
Saw V,10800000,118209778,95,"['Horror', 'Thriller', 'Crime']",3.7928,6.167,3604,True,David Hackl,Tobin Bell,107409778,0.9086369995551468,2008,Twisted Pictures,Horror,Thriller,Crime
Men of Honor,32000000,82300000,129,['Drama'],3.7868,7.5,2356,False,George Tillman Jr.,Robert De Niro,50300000,0.6111786148238153,2000,Fox 2000 Pictures,Drama,,
Big Miracle,40000000,24719215,107,"['Adventure', 'Drama', 'Romance', 'Fantasy']",3.7861,6.694,503,False,Ken Kwapis,Drew Barrymore,-15280785,-0.6181743635467388,2012,Working Title Films,Adventure,Drama,Romance
Unfriended: Dark Web,1000000,16000000,92,"['Horror', 'Thriller', 'Mystery']",3.7858,6.3,1559,True,Stephen Susco,Colin Woodell,15000000,0.9375,2018,BH Tilt,Horror,Thriller,Mystery
TAYLOR SWIFT | THE ERAS TOUR,15000000,261656269,169,['Music'],3.7804,8.2,447,False,Sam Wrench,Taylor Swift,246656269,0.9426728812677521,2023,Taylor Swift Productions,Music,,
Columbus,700000,1015744,104,['Drama'],3.7786,7.12,412,False,Kogonada,John Cho,315744,0.3108499779471993,2017,Nonetheless Productions,Drama,,
Hard Candy,950000,7000000,104,"['Drama', 'Thriller']",3.7774,6.8,2630,False,David Slade,Elliot Page,6050000,0.8642857142857143,2005,Vulcan Productions,Drama,Thriller,
Adore,16000000,1600000,100,['Drama'],3.7771,6.111,990,False,Anne Fontaine,Naomi Watts,-14400000,-9.0,2013,Gaumont,Drama,,
Courageous,1000000,35690739,129,['Drama'],3.7706,7.595,378,False,Alex Kendrick,Ken Bevel,34690739,0.971981527196733,2011,TriStar Pictures,Drama,,
Ken Park,1300000,447741,97,['Drama'],3.7687,6.0,633,False,Larry Clark,James Ransone,-852259,-1.903464279572342,2003,Cinéa,Drama,,
How Do You Know,120000000,48668907,121,"['Comedy', 'Drama', 'Romance']",3.7681,5.312,1007,False,James L. Brooks,Reese Witherspoon,-71331093,-1.465639920781455,2010,Columbia Pictures,Comedy,Drama,Romance
Something Borrowed,35000000,65090821,112,"['Comedy', 'Drama', 'Romance']",3.7634,6.246,1053,False,Luke Greenfield,Ginnifer Goodwin,30090821,0.46228977508211183,2011,Wild Ocean Films,Comedy,Drama,Romance
The X Files: I Want to Believe,30000000,69363381,104,"['Mystery', 'Science Fiction', 'Thriller']",3.7606,5.8,1537,True,Chris Carter,David Duchovny,39363381,0.5674951311845655,2008,Ten Thirteen Productions,Mystery,Science Fiction,Thriller
She Said,32000000,13900000,129,"['Drama', 'History']",3.7605,7.2,630,False,Maria Schrader,Zoe Kazan,-18100000,-1.3021582733812949,2022,Plan B Entertainment,Drama,History,
The Paperboy,12500000,1353868,107,"['Thriller', 'Drama', 'Mystery']",3.7593,5.53,764,False,Lee Daniels,Zac Efron,-11146132,-8.23280556154662,2012,Lee Daniels Entertainment,Thriller,Drama,Mystery
Camp X-Ray,1000000,59744,117,['Drama'],3.7585,6.729,1044,False,Peter Sattler,Kristen Stewart,-940256,-15.738082485270487,2014,Young Gang,Drama,,
The Heat,43000000,158674180,117,"['Action', 'Comedy', 'Crime']",3.7567,6.598,3999,False,Paul Feig,Sandra Bullock,115674180,0.7290044290759845,2013,Chernin Entertainment,Action,Comedy,Crime
Lights Out,4900000,149368835,81,['Horror'],3.7556,6.361,3933,False,David F. Sandberg,Teresa Palmer,144468835,0.9671952988051357,2016,New Line Cinema,Horror,,
TMNT,34000000,95608995,86,"['Adventure', 'Animation', 'Comedy', 'Family']",3.7542,6.134,1124,False,Kevin Munroe,James Arnold Taylor,61608995,0.6443849242427452,2007,Imagi Animation Studios,Adventure,Animation,Comedy
The Edge of Seventeen,9000000,18803648,105,"['Comedy', 'Drama']",3.7523,7.2,4097,False,Kelly Fremon Craig,Hailee Steinfeld,9803648,0.5213694704346731,2016,Tang Media Productions,Comedy,Drama,
The Flock,35000000,7155358,105,"['Crime', 'Drama', 'Mystery', 'Thriller']",3.7509,5.621,263,False,Andrew Lau Wai-Keung,Richard Gere,-27844642,-3.8914393940876195,2007,Lucky 50 Productions,Crime,Drama,Mystery
Kicking & Screaming,45000000,56070433,95,"['Family', 'Comedy']",3.7508,5.8,640,False,Jesse Dylan,Will Ferrell,11070433,0.1974379794784178,2005,Mosaic Media Group,Family,Comedy,
Trapped,30000000,13414416,106,"['Action', 'Crime', 'Thriller', 'Drama']",3.7502,6.158,586,False,Luis Mandoki,Charlize Theron,-16585584,-1.236400004293888,2002,Senator Film,Action,Crime,Thriller
Professor Marston and the Wonder Women,7000000,1600000,108,"['Drama', 'Romance']",3.7497,7.2,889,False,Angela Robinson,Luke Evans,-5400000,-3.375,2017,Topple Productions,Drama,Romance,
The Other Boleyn Girl,35000000,78269970,115,"['Drama', 'Romance', 'History']",3.7455,6.7,2115,False,Justin Chadwick,Natalie Portman,43269970,0.552829776221966,2008,Universal Pictures,Drama,Romance,History
Mysterious Skin,3000000,2148548,105,['Drama'],3.7432,7.7,1131,False,Gregg Araki,Joseph Gordon-Levitt,-851452,-0.3962918212672,2005,Desperate Pictures,Drama,,
Emily the Criminal,2000000,2157673,97,"['Crime', 'Drama', 'Thriller']",3.7379,6.668,884,False,John Patton Ford,Aubrey Plaza,157673,0.073075484561377,2022,Low Spark Films,Crime,Drama,Thriller
Brooklyn,11000000,62076141,111,"['Romance', 'Drama', 'History']",3.7328,7.314,3133,False,John Crowley,Saoirse Ronan,51076141,0.8227982631845623,2015,Wildgaze Films,Romance,Drama,History
Havoc,9000000,371000,86,"['Crime', 'Drama']",3.7316,5.238,321,True,Barbara Kopple,Anne Hathaway,-8629000,-23.258760107816713,2005,Media 8 Entertainment,Crime,Drama,
Child's Play,10000000,44902237,90,"['Horror', 'Thriller']",3.7305,6.0,1947,False,Lars Klevberg,Mark Hamill,34902237,0.777293946401824,2019,KatzSmith Productions,Horror,Thriller,
Titan A.E.,75000000,36754634,94,"['Animation', 'Action', 'Science Fiction', 'Family', 'Adventure']",3.7292,6.585,1105,False,Don Bluth,Matt Damon,-38245366,-1.0405590217549168,2000,David Kirschner Productions,Animation,Action,Science Fiction
Free State of Jones,50000000,25035950,140,"['Action', 'Drama', 'History', 'War']",3.7253,6.77,1536,False,Gary Ross,Matthew McConaughey,-24964050,-0.9971281297494203,2016,STXfilms,Action,Drama,History
National Lampoon's Van Wilder,6000000,39241323,92,"['Comedy', 'Romance']",3.7167,6.024,1829,True,Walt Becker,Ryan Reynolds,33241323,0.8470999563393925,2002,Tapestry Films,Comedy,Romance,
Dan in Real Life,25000000,68474305,98,"['Comedy', 'Romance', 'Drama']",3.7119,6.565,1255,False,Peter Hedges,Steve Carell,43474305,0.6348995437047518,2007,Touchstone Pictures,Comedy,Romance,Drama
Final Fantasy: The Spirits Within,137000000,85131830,106,"['Adventure', 'Action', 'Fantasy', 'Science Fiction', 'Thriller', 'Romance', 'Animation']",3.7106,6.195,1495,False,Hironobu Sakaguchi,Ming-Na Wen,-51868170,-0.609268824598273,2001,Chris Lee Productions,Adventure,Action,Fantasy
Deuce Bigalow: European Gigolo,22000000,45109561,83,['Comedy'],3.7096,5.303,951,True,Mike Bigelow,Rob Schneider,23109561,0.5122985125038126,2005,Out of the Blue... Entertainment,Comedy,,
The Legend of Bagger Vance,80000000,39459427,126,"['Drama', 'Romance', 'Fantasy']",3.7096,6.594,923,False,Robert Redford,Matt Damon,-40540573,-1.0273989280178852,2000,Wildwood Enterprises,Drama,Romance,Fantasy
The New Mutants,67000000,49169594,94,"['Science Fiction', 'Horror', 'Action']",3.7065,6.097,3497,False,Josh Boone,Blu Hunt,-17830406,-0.3626307347585583,2020,20th Century Studios,Science Fiction,Horror,Action
Year One,60000000,62357900,97,"['Comedy', 'Adventure']",3.7009,4.976,1906,False,Harold Ramis,Jack Black,2357900,0.037812370204897854,2009,Columbia Pictures,Comedy,Adventure,
Save the Last Dance,13000000,131706809,113,"['Drama', 'Family', 'Romance', 'Music']",3.6996,6.519,1285,True,Thomas Carter,Julia Stiles,118706809,0.9012959155361512,2001,MTV Films,Drama,Family,Romance
No Good Deed,13200000,53830415,84,"['Crime', 'Thriller']",3.6982,5.931,636,False,Sam Miller,Idris Elba,40630415,0.7547854684010888,2014,Will Packer Productions,Crime,Thriller,
The Big Wedding,35000000,21800000,90,['Comedy'],3.6979,5.851,1183,False,Justin Zackham,Robert De Niro,-13200000,-0.6055045871559633,2013,Millennium Media,Comedy,,
Team America: World Police,32000000,50826898,98,"['Adventure', 'Action', 'Comedy']",3.6905,6.716,1911,False,Trey Parker,Trey Parker,18826898,0.3704120995147097,2004,Paramount Pictures,Adventure,Action,Comedy
Spy Kids 3-D: Game Over,38000000,197101678,84,"['Family', 'Action', 'Comedy', 'Adventure', 'Science Fiction']",3.6902,5.133,2255,True,Robert Rodriguez,Daryl Sabara,159101678,0.8072061060789143,2003,Dimension Films,Family,Action,Comedy
Unbroken,65000000,163400000,137,"['Drama', 'War']",3.6867,7.425,4180,True,Angelina Jolie,Jack O'Connell,98400000,0.602203182374541,2014,Legendary Pictures,Drama,War,
Crimes of the Future,27000000,4551565,107,"['Science Fiction', 'Horror']",3.685,6.049,1147,False,David Cronenberg,Viggo Mortensen,-22448435,-4.932025578015474,2022,Serendipity Point Films,Science Fiction,Horror,
Alvin and the Chipmunks: The Road Chip,90000000,233755553,92,"['Family', 'Comedy', 'Adventure', 'Animation', 'Music']",3.6847,6.0,1674,True,Walt Becker,Jason Lee,143755553,0.6149824085676373,2015,TSG Entertainment,Family,Comedy,Adventure
The Bob's Burgers Movie,38000000,34148750,101,"['Animation', 'Adventure', 'Comedy']",3.6831,6.986,319,False,Bernard Derriman,H. Jon Benjamin,-3851250,-0.11277865222006662,2022,20th Century Studios,Animation,Adventure,Comedy
The Rental,3500000,4311042,88,"['Horror', 'Thriller']",3.6826,5.6,927,False,Dave Franco,Dan Stevens,811042,0.18813131488860466,2020,Black Bear Pictures,Horror,Thriller,
Knock at the Cabin,20000000,54700000,100,"['Horror', 'Mystery', 'Thriller']",3.6801,6.276,2807,False,M. Night Shyamalan,Dave Bautista,34700000,0.6343692870201096,2023,Blinding Edge Pictures,Horror,Mystery,Thriller
The Cave,30000000,33296457,97,"['Action', 'Adventure', 'Horror', 'Thriller']",3.6783,5.4,961,False,Bruce Hunt,Cole Hauser,3296457,0.09900323629027558,2005,City Productions,Action,Adventure,Horror
Judy,10000000,38981322,118,"['Drama', 'History', 'Music']",3.6762,6.7,1198,False,Rupert Goold,Renée Zellweger,28981322,0.7434668839604773,2019,BBC Film,Drama,History,Music
Rules Don't Apply,25000000,3900000,127,"['Romance', 'Comedy', 'Drama']",3.6749,5.72,475,False,Warren Beatty,Warren Beatty,-21100000,-5.410256410256411,2016,Tatira,Romance,Comedy,Drama
Confessions of a Dangerous Mind,30000000,33013805,113,"['Comedy', 'Crime', 'Drama', 'Romance', 'Thriller', 'History']",3.6726,6.691,1170,False,George Clooney,Sam Rockwell,3013805,0.09128923491248585,2002,Miramax,Comedy,Crime,Drama
Hummingbird,20000000,8352885,100,"['Action', 'Thriller']",3.6715,6.174,1745,False,Steven Knight,Jason Statham,-11647115,-1.39438230024716,2013,Lionsgate,Action,Thriller,
The Hills Have Eyes 2,15000000,37697773,90,"['Horror', 'Thriller']",3.6713,5.56,1501,True,Martin Weisz,Michael McMillian,22697773,0.6020985112303584,2007,Fox Atomic,Horror,Thriller,
Sideways,16000000,109502303,127,"['Comedy', 'Drama', 'Romance']",3.6708,7.097,1723,False,Alexander Payne,Paul Giamatti,93502303,0.8538843516377915,2004,Fox Searchlight Pictures,Comedy,Drama,Romance
The Lost Daughter,5000000,703281,121,['Drama'],3.6655,6.488,1010,False,Maggie Gyllenhaal,Olivia Colman,-4296719,-6.109533742558096,2021,Endeavor Content,Drama,,
Derailed,22000000,57479076,108,"['Drama', 'Thriller']",3.664,6.4,1051,False,Mikael Håfström,Clive Owen,35479076,0.6172520240234899,2005,di Bonaventura Pictures,Drama,Thriller,
Unforgettable,12000000,17800000,100,"['Drama', 'Thriller']",3.6634,5.9,651,False,Denise Di Novi,Rosario Dawson,5800000,0.3258426966292135,2017,Di Novi Pictures,Drama,Thriller,
The Lego Movie 2: The Second Part,99000000,199603202,107,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",3.6627,6.7,2265,True,Mike Mitchell,Chris Pratt,100603202,0.504015972649577,2019,Vertigo Entertainment,Action,Adventure,Animation
The Ledge,2500000,685303,86,"['Thriller', 'Adventure']",3.6598,6.6,366,False,Howard J. Ford,Brittany Ashworth,-1814697,-2.648021386160574,2022,Head Gear Films,Thriller,Adventure,
The House Bunny,25000000,70442940,97,"['Romance', 'Comedy']",3.6594,5.7,1926,False,Fred Wolf,Anna Faris,45442940,0.6451028307449973,2008,Alta Loma Entertainment,Romance,Comedy,
Paranormal Activity 2,3000000,177512032,91,"['Horror', 'Mystery']",3.6591,5.8,2492,True,Tod Williams,Sprague Grayden,174512032,0.9830997371490852,2010,Paramount Pictures,Horror,Mystery,
Monster Trucks,125000000,64493915,104,"['Action', 'Comedy', 'Science Fiction']",3.6584,6.1,864,False,Chris Wedge,Lucas Till,-60506085,-0.9381673449347896,2016,Nickelodeon Movies,Action,Comedy,Science Fiction
The Pink Panther,65000000,158851357,93,"['Comedy', 'Mystery', 'Crime', 'Adventure', 'Family']",3.658,5.843,1974,True,Shawn Levy,Steve Martin,93851357,0.5908124347971418,2006,Metro-Goldwyn-Mayer,Comedy,Mystery,Crime
Son of God,22000000,67800064,138,['Drama'],3.6528,6.825,318,False,Christopher Spencer,Roma Downey,45800064,0.6755165304858709,2014,Hearst Entertainment Productions,Drama,,
Jackass: The Movie,5000000,64282312,85,"['Comedy', 'Documentary', 'Action']",3.6494,6.311,1618,True,Jeff Tremaine,Johnny Knoxville,59282312,0.9222181056586763,2002,Lynch Siderow Productions,Comedy,Documentary,Action
Lockout,20000000,32948113,95,"['Action', 'Thriller', 'Science Fiction']",3.6474,5.933,1872,False,Stephen St. Leger,Guy Pearce,12948113,0.39298496396440064,2012,EuropaCorp,Action,Thriller,Science Fiction
"Good Night, and Good Luck.",7000000,54600000,92,"['Drama', 'History']",3.645,7.075,1018,False,George Clooney,David Strathairn,47600000,0.8717948717948718,2005,Warner Independent Pictures,Drama,History,
Suburbicon,25000000,12751667,105,"['Thriller', 'Crime', 'Drama', 'Mystery']",3.6439,5.885,1738,False,George Clooney,Matt Damon,-12248333,-0.9605279843019741,2017,Black Bear Pictures,Thriller,Crime,Drama
Stan & Ollie,10000000,24420923,98,"['Comedy', 'Drama']",3.6408,6.959,1068,False,Jon S. Baird,Steve Coogan,14420923,0.590515067755629,2018,Fable Pictures,Comedy,Drama,
Rampage,120,428,84,"['Action', 'Crime', 'Thriller', 'Horror']",3.6408,5.948,445,True,Uwe Boll,Brendan Fletcher,308,0.719626168224299,2009,Boll Kino Beteiligungs GmbH & Co. KG,Action,Crime,Thriller
The Spirit,60000000,39031337,103,"['Crime', 'Thriller', 'Fantasy', 'Action']",3.639,4.8,1000,False,Frank Miller,Gabriel Macht,-20968663,-0.5372263573753572,2008,Lionsgate,Crime,Thriller,Fantasy
Fantasia 2000,80000000,60655420,74,"['Animation', 'Family', 'Music']",3.6386,7.0,1303,True,James Algar,Steve Martin,-19344580,-0.31892582723852214,2000,Walt Disney Pictures,Animation,Family,Music
Impostor,40000000,8694320,102,"['Action', 'Science Fiction', 'Thriller']",3.6366,6.115,430,False,Gary Fleder,Gary Sinise,-31305680,-3.6007048279796465,2001,Dimension Films,Action,Science Fiction,Thriller
The Recruit,46000000,101200000,115,"['Action', 'Thriller']",3.6366,6.4,1785,False,Roger Donaldson,Colin Farrell,55200000,0.5454545454545454,2003,Birnbaum/Barber Productions,Action,Thriller,
Gamer,50000000,40800000,95,"['Action', 'Thriller', 'Science Fiction']",3.6363,5.7,2445,False,Brian Taylor,Gerard Butler,-9200000,-0.22549019607843138,2009,Lionsgate,Action,Thriller,Science Fiction
Copshop,43500000,6807158,108,"['Thriller', 'Crime', 'Action']",3.6356,6.275,808,False,Joe Carnahan,Gerard Butler,-36692842,-5.3903320592823025,2021,WarParty Films,Thriller,Crime,Action
Hostage,52000000,77944725,113,"['Action', 'Thriller', 'Crime']",3.6355,6.336,1646,False,Florent-Emilio Siri,Bruce Willis,25944725,0.3328605624049607,2005,Yari Film Group,Action,Thriller,Crime
Hatchet,1500000,155873,84,"['Comedy', 'Horror']",3.6352,5.767,663,True,Adam Green,Joel David Moore,-1344127,-8.623218902568116,2006,ArieScope Pictures,Comedy,Horror,
The Signal,4000000,2665322,97,"['Thriller', 'Science Fiction']",3.6324,6.005,1719,False,William Eubank,Brenton Thwaites,-1334678,-0.5007567565945128,2014,Signal Film Group,Thriller,Science Fiction,
Late Night,4000000,22384741,102,"['Comedy', 'Drama']",3.6304,6.397,817,False,Nisha Ganatra,Emma Thompson,18384741,0.8213068446938921,2019,FilmNation Entertainment,Comedy,Drama,
A Monster Calls,43000000,47309313,108,"['Fantasy', 'Adventure', 'Family']",3.6294,7.288,3405,False,J.A. Bayona,Lewis MacDougall,4309313,0.09108804856244689,2016,River Road Entertainment,Fantasy,Adventure,Family
The Light Between Oceans,20000000,25975621,133,"['Drama', 'Romance']",3.6289,7.1,1367,False,Derek Cianfrance,Michael Fassbender,5975621,0.2300472816415053,2016,DreamWorks Pictures,Drama,Romance,
Shall We Dance?,50000000,170128460,107,"['Drama', 'Romance', 'Comedy']",3.6261,6.4,1222,False,Peter Chelsom,Richard Gere,120128460,0.7061044342610284,2004,Miramax,Drama,Romance,Comedy
Top Five,12000000,26117471,102,"['Drama', 'Comedy', 'Romance']",3.6258,6.097,464,False,Chris Rock,Chris Rock,14117471,0.5405374433075851,2014,Paramount Pictures,Drama,Comedy,Romance
Alpha Dog,9500000,32400000,122,"['Crime', 'Drama', 'Thriller']",3.6253,6.659,1413,False,Nick Cassavetes,Emile Hirsch,22900000,0.7067901234567902,2006,A-Mark Entertainment,Crime,Drama,Thriller
